Customer_ID,Gender,Age,Annual_Income,Spending_Score,Segment
1,Female,58,44184,4,1
2,Male,33,73513,18,1
3,Female,61,37790,76,1
4,Male,20,22811,12,0
5,Male,32,147475,78,2
6,Female,53,67124,92,1
7,Female,32,132757,76,2
8,Male,69,16703,98,1
9,Female,62,125785,44,1
10,Female,27,71443,98,2
11,Male,24,39312,49,0
12,Female,40,105165,78,2
13,Female,69,26390,94,1
14,Male,52,47722,49,1
15,Female,53,91854,81,2
16,Male,54,65407,91,1
17,Female,20,74742,99,2
18,Female,23,76024,13,1
19,Female,35,133858,82,2
20,Male,28,112040,46,1
21,Male,60,84986,90,2
22,Male,56,59862,69,1
23,Female,28,136178,49,1
24,Female,58,72570,88,2
25,Male,67,29663,30,0
26,Female,69,97694,52,1
27,Female,22,70307,73,2
28,Female,31,145870,51,1
29,Male,27,84436,18,1
30,Female,65,83876,96,2
31,Male,55,119700,47,1
32,Male,26,148569,64,2
33,Male,66,27351,15,0
34,Female,58,56938,88,1
35,Female,56,31653,50,1
36,Female,56,137696,68,2
37,Male,53,18009,88,1
38,Female,61,84946,99,2
39,Male,25,91939,56,1
40,Female,47,15850,93,1
41,Male,50,61832,65,1
42,Male,58,93235,82,2
43,Male,27,113019,98,2
44,Female,52,15149,77,1
45,Female,49,20105,15,0
46,Male,69,95612,31,1
47,Female,33,35645,11,0
48,Male,70,33143,98,1
49,Male,26,139592,71,2
50,Male,34,125923,28,1
51,Female,63,96714,52,1
52,Male,46,133354,16,1
53,Male,32,31784,44,0
54,Male,55,75323,76,2
55,Male,18,33610,91,1
56,Female,32,32668,5,0
57,Female,22,149782,31,1
58,Male,60,142248,28,1
59,Female,64,138907,32,1
60,Male,69,121708,25,1
61,Female,24,127997,46,1
62,Male,44,137427,94,2
63,Female,61,40799,8,1
64,Male,64,103946,14,1
65,Female,30,64862,69,1
66,Female,26,125593,24,1
67,Female,47,80485,10,1
68,Male,69,40666,7,1
69,Female,23,76965,22,1
70,Female,49,141185,28,1
71,Male,21,58158,49,1
72,Female,42,84521,59,1
73,Male,45,142577,20,1
74,Male,36,72068,8,1
75,Male,65,97209,8,1
76,Male,55,139987,65,2
77,Male,21,148124,11,1
78,Male,22,32815,87,1
79,Male,43,46427,73,1
80,Male,55,25418,80,1
81,Male,44,97934,34,1
82,Female,60,97361,31,1
83,Female,43,49308,86,1
84,Male,47,97883,97,2
85,Male,18,135136,80,2
86,Female,22,70877,65,2
87,Male,26,106490,9,1
88,Female,41,89707,21,1
89,Male,52,94303,79,2
90,Male,60,93480,85,2
91,Male,26,84328,15,1
92,Female,65,55749,35,1
93,Female,56,70215,92,2
94,Female,31,84201,65,2
95,Female,34,28316,12,0
96,Female,35,26557,1,0
97,Female,67,49293,82,1
98,Female,28,130824,71,2
99,Male,53,17534,15,0
100,Male,62,54073,70,1
101,Male,41,53821,56,1
102,Male,20,95808,47,1
103,Male,40,70070,88,2
104,Female,60,41946,46,1
105,Male,57,55515,31,1
106,Male,69,61413,53,1
107,Male,29,102080,53,1
108,Male,35,56732,90,1
109,Male,42,25151,61,1
110,Female,30,135665,45,1
111,Male,70,74662,29,1
112,Female,60,65627,52,1
113,Female,35,33198,99,1
114,Female,40,148537,52,1
115,Male,19,45236,34,1
116,Male,55,84590,5,1
117,Female,56,128918,45,1
118,Female,45,149066,15,1
119,Male,54,64828,33,1
120,Male,63,129309,1,1
121,Female,41,128062,9,1
122,Male,57,97291,85,2
123,Female,64,93727,65,2
124,Female,60,122057,42,1
125,Male,62,92504,71,2
126,Female,30,125217,86,2
127,Female,61,60620,79,1
128,Female,43,15106,39,0
129,Female,31,127692,75,2
130,Male,47,130811,57,1
131,Male,50,139042,95,2
132,Female,60,37228,37,0
133,Female,23,76569,87,2
134,Male,32,67200,19,1
135,Male,20,79184,61,2
136,Male,47,123643,81,2
137,Female,63,115657,64,2
138,Male,33,53684,84,1
139,Female,66,42941,100,1
140,Female,32,61107,90,1
141,Female,21,80325,16,1
142,Female,26,136803,86,2
143,Female,66,131017,79,2
144,Female,53,131893,21,1
145,Male,46,82945,97,2
